study_id,x,y,z,stat_value,sample_size,space
10388802,3.0,33.0,-8.0,-3.3985353208591356,31,mni152_2mm
10388802,54.0,-66.0,3.0,2.89559022629109,58,mni152_2mm
10388802,-48.0,-60.0,-18.0,-4.670768955078918,42,mni152_2mm
10388802,45.0,18.0,45.0,1.96,54,mni152_2mm
10388802,-6.0,-78.0,-24.0,-3.796928036485503,42,mni152_2mm
10388802,3.0,-12.0,42.0,1.96,47,mni152_2mm
10388802,-45.0,-78.0,15.0,1.96,45,mni152_2mm
10388802,-63.0,-15.0,6.0,3.6619713336747295,50,mni152_2mm
10388802,33.0,21.0,51.0,-1.96,22,mni152_2mm
10388802,60.0,3.0,-3.0,-1.96,72,mni152_2mm
10388802,6.0,36.0,27.0,2.2157279607299163,24,mni152_2mm
10388802,66.0,-6.0,-18.0,2.273691307736202,29,mni152_2mm
10388802,36.0,24.0,-9.0,4.967839593183886,32,mni152_2mm
10388802,48.0,27.0,24.0,-5.964955459123471,36,mni152_2mm
10388802,-45.0,-9.0,-3.0,3.61456338305385,51,mni152_2mm
10388802,-39.0,-57.0,-24.0,4.430259690161238,38,mni152_2mm
10388802,-9.0,45.0,-60.0,-3.368533467393753,54,mni152_2mm
10388802,-45.0,15.0,18.0,5.145849178496535,80,mni152_2mm
10388802,-39.0,12.0,51.0,-5.464024292868123,13,mni152_2mm
10388802,45.0,-6.0,-6.0,-2.7640036967485457,41,mni152_2mm
10388802,63.0,-9.0,0.0,1.96,31,mni152_2mm
10388802,36.0,51.0,-12.0,-2.869445183455938,33,mni152_2mm
10388802,54.0,-66.0,0.0,2.8673605772124526,45,mni152_2mm
10388802,-30.0,-66.0,45.0,3.356700639386694,35,mni152_2mm
10388802,-3.0,21.0,42.0,4.398374006706365,62,mni152_2mm
10388802,-42.0,-69.0,12.0,4.530257199897707,31,mni152_2mm
10388802,-48.0,-9.0,-3.0,3.0960571611975585,26,mni152_2mm
10388802,36.0,-60.0,-27.0,-3.842802290450875,44,mni152_2mm
10388802,-51.0,24.0,30.0,-2.8111395530658836,95,mni152_2mm
10388802,1.0,-21.0,27.0,2.038203347807164,39,mni152_2mm
10388802,-48.0,27.0,27.0,-2.732429202681301,44,mni152_2mm
10388802,66.0,-39.0,-12.0,3.682935535064069,47,mni152_2mm
10388802,-6.0,-48.0,27.0,1.96,31,mni152_2mm
10388802,-51.0,27.0,18.0,-2.525492433283028,48,mni152_2mm
10388802,-9.0,45.0,-6.0,4.570730312518826,58,mni152_2mm
10388802,33.0,24.0,48.0,5.0008224885523065,67,mni152_2mm
10388802,-63.0,-3.0,6.0,-6.135677511186398,42,mni152_2mm
10388802,-42.0,45.0,-6.0,3.036557793748039,56,mni152_2mm
10388802,45.0,21.0,-36.0,-2.683612955490112,21,mni152_2mm
10388802,3.0,27.0,-12.0,3.461317238769855,25,mni152_2mm
10388802,42.0,39.0,21.0,-4.144114461251105,51,mni152_2mm
10388802,42.0,-9.0,-6.0,4.995406581202695,35,mni152_2mm
10388802,9.0,-69.0,39.0,2.092749907344221,33,mni152_2mm
10388802,-42.0,15.0,21.0,1.96,38,mni152_2mm
10388802,57.0,-24.0,21.0,2.9424316067515215,52,mni152_2mm
10388802,-12.0,45.0,-6.0,3.392432725436886,42,mni152_2mm
10388802,48.0,30.0,21.0,3.848020759111496,47,mni152_2mm
10388802,3.0,-9.0,42.0,3.647727645529194,38,mni152_2mm
10388802,-42.0,-60.0,-27.0,6.108710218623654,27,mni152_2mm
10388802,36.0,24.0,-12.0,1.96,42,mni152_2mm
10388802,-66.0,-33.0,-9.0,-1.96,47,mni152_2mm
10388802,39.0,-63.0,45.0,2.7114427920470257,54,mni152_2mm
10388802,-30.0,24.0,-6.0,-3.529589928509131,37,mni152_2mm
10388802,3.0,51.0,0.0,1.96,31,mni152_2mm
10388802,6.0,36.0,27.0,-5.141587081124619,62,mni152_2mm
10388802,-30.0,27.0,51.0,3.3948581819515646,42,mni152_2mm
10557338,56.60713811393641,20.877150196473316,-2.0079348916564497,3.5738749038795112,55,mni152_2mm
10648437,-30.0,-63.0,57.0,4.4300203619824305,47,mni152_2mm
10648437,30.0,33.0,6.0,-4.848942755448731,32,mni152_2mm
10648437,-51.0,-39.0,57.0,3.7264120313041142,31,mni152_2mm
10648437,-56.0,-60.0,0.0,3.980605280914551,23,mni152_2mm
10648437,-43.0,-54.0,-12.0,2.6720644778235583,29,mni152_2mm
10648437,-36.0,48.0,33.0,3.978901281193491,69,mni152_2mm
10648437,-48.0,-60.0,-3.0,6.040936909426982,45,mni152_2mm
10648437,45.0,6.0,57.0,-3.942643383691425,34,mni152_2mm
10648437,-57.0,-54.0,6.0,-5.059344207584628,65,mni152_2mm
10648437,-44.0,-64.0,-4.0,4.534774141487813,46,mni152_2mm
10648437,-27.0,-57.0,21.0,-3.307196635779931,29,mni152_2mm
10648437,-39.0,-66.0,3.0,3.466478074152965,34,mni152_2mm
10648437,3.9,6.7,4.2,1.96,47,mni152_2mm
10648437,0.0,9.0,54.0,-3.1800512323482586,30,mni152_2mm
10648437,-48.0,-63.0,-15.0,2.510926496842355,17,mni152_2mm
10648437,-39.0,15.0,30.0,4.857032604430386,52,mni152_2mm
10648437,51.0,21.0,0.0,-3.0458704119483837,69,mni152_2mm
10648437,-42.0,-57.0,-6.0,5.16073386374702,24,mni152_2mm
10648437,-48.0,-54.0,0.0,1.96,34,mni152_2mm
10648437,-39.0,-54.0,-15.0,-5.224702240806204,27,mni152_2mm
10648437,-42.0,-57.0,-9.0,2.3483005748841412,27,mni152_2mm
10648437,-45.0,-51.0,-6.0,-3.2422842480221363,39,mni152_2mm
10648437,-39.0,-45.0,-15.0,3.547617911617954,51,mni152_2mm
10648437,42.0,45.0,27.0,-3.8344738274043553,42,mni152_2mm
10648437,-33.0,-3.0,57.0,4.126067543215178,51,mni152_2mm
10648437,39.0,-51.0,42.0,3.8816842170302386,38,mni152_2mm
10751455,6.0,-62.0,18.0,-3.071469614648668,48,mni152_2mm
10751455,-16.0,-80.0,-8.0,3.5667452535680555,46,mni152_2mm
10751455,40.0,-80.0,4.0,4.712864608985875,75,mni152_2mm
10751455,0.0,12.0,46.0,2.7547738017709333,26,mni152_2mm
10751455,-8.0,52.0,6.0,2.504672533493439,31,mni152_2mm
10751455,24.0,-52.0,-38.0,4.9407973592186565,59,mni152_2mm
10751455,10.0,52.0,-10.0,4.530310128458252,40,mni152_2mm
10751455,28.0,-50.0,-46.0,4.095616399236002,59,mni152_2mm
10751455,-32.0,-50.0,-40.0,-2.520270693136032,36,mni152_2mm
10751455,-14.0,-80.0,-4.0,-2.685667938002253,30,mni152_2mm
10751455,-12.0,50.0,10.0,-2.487087199750385,22,mni152_2mm
10751455,0.0,-8.0,58.0,-3.720145382557462,47,mni152_2mm
10751455,14.0,52.0,-6.0,-4.489748116889809,26,mni152_2mm
10751455,36.0,-90.0,-4.0,-2.9538478417826197,45,mni152_2mm
10751455,-32.0,-48.0,-38.0,3.099398452778321,17,mni152_2mm
10751455,-14.0,-84.0,-2.0,-3.6397495358719256,24,mni152_2mm
10751455,42.0,-34.0,24.0,1.96,55,mni152_2mm
10751455,28.0,24.0,-22.0,1.96,42,mni152_2mm
10751455,6.0,54.0,-14.0,-3.066214063776028,32,mni152_2mm
10751455,38.0,-84.0,0.0,6.9277228583265575,38,mni152_2mm
10751455,-14.0,46.0,2.0,3.734758180766405,51,mni152_2mm
10751455,-42.0,4.0,49.0,2.606143241202864,33,mni152_2mm
10751455,0.0,-72.0,54.0,5.421616317074742,45,mni152_2mm
10751455,36.0,-90.0,-4.0,3.2351754365255263,33,mni152_2mm
10751455,-36.0,-62.0,56.0,2.6013164109416893,34,mni152_2mm
10751455,-2.0,8.0,54.0,4.69552505725081,87,mni152_2mm
10751455,36.0,26.0,-12.0,2.864061263834694,30,mni152_2mm
10864232,-16.509252967782757,-68.73215583313902,43.1484369624403,2.2367543540727697,59,mni152_2mm
10864232,-20.023051902451748,-87.32422466688094,-4.320821758063233,1.96,32,mni152_2mm
10864232,32.29480573102815,-75.37902554192877,-5.923534937299595,1.96,33,mni152_2mm
10864232,23.08813692593482,-59.09371666894121,54.15249211906685,3.0962460042561633,19,mni152_2mm
10864232,-7.907275337325062,-71.42484268883625,48.85144764823791,4.496289905410388,24,mni152_2mm
10912590,-58.0,-28.0,0.0,-3.818966036306344,51,mni152_2mm
10912590,-2.0,-28.0,26.0,2.707104927622434,35,mni152_2mm
10912590,52.0,-40.0,0.0,-3.824692682272914,57,mni152_2mm
10912590,2.0,0.0,58.0,4.268487581307751,35,mni152_2mm
10912590,34.0,24.0,0.0,1.96,62,mni152_2mm
10912590,-44.0,-48.0,60.0,1.96,58,mni152_2mm
10912590,-2.0,-32.0,26.0,5.050963725944931,55,mni152_2mm
10912590,50.0,12.0,42.0,-2.528773508228087,39,mni152_2mm
10912590,-36.0,20.0,0.0,5.385125746319875,32,mni152_2mm
10912590,50.0,-20.0,44.0,-2.7381954146604146,35,mni152_2mm
10912590,58.0,-48.0,18.0,4.33081385139984,42,mni152_2mm
10912590,54.0,-12.0,-2.0,3.2406553472887873,69,mni152_2mm
10912590,-46.0,-20.0,28.0,1.96,42,mni152_2mm
10912590,-58.0,-52.0,18.0,4.277895101686295,48,mni152_2mm
10912590,46.0,-28.0,8.0,4.195462444303772,23,mni152_2mm
10912590,-56.0,-24.0,42.0,3.5286071011305697,33,mni152_2mm
10912590,-50.0,-8.0,44.0,-4.2128005531585195,47,mni152_2mm
10912590,54.0,-16.0,44.0,3.451165858667872,57,mni152_2mm
10912590,-50.0,-8.0,-6.0,3.2490699842733313,43,mni152_2mm
10978692,60.0,-52.0,-4.0,3.8182543082961793,32,mni152_2mm
10978692,44.0,-4.0,56.0,1.96,41,mni152_2mm
10978692,64.0,0.0,32.0,1.96,34,mni152_2mm
10978692,20.0,-52.0,68.0,-6.260889718113363,26,mni152_2mm
10978692,-64.0,-28.0,16.0,4.1021937488080535,37,mni152_2mm
10978692,-36.0,-40.0,40.0,2.16589931916043,33,mni152_2mm
10978692,40.0,-52.0,-28.0,2.9468486820422304,34,mni152_2mm
10978692,-44.0,-16.0,56.0,3.755159717986014,101,mni152_2mm
10978692,-32.0,-12.0,60.0,-1.96,32,mni152_2mm
10978692,-64.0,-36.0,28.0,-1.96,88,mni152_2mm
10978692,-8.0,0.0,48.0,4.143158285203311,37,mni152_2mm
10978692,40.0,-56.0,48.0,6.489473179766737,29,mni152_2mm
10978692,-52.0,-20.0,44.0,3.8924488469284544,55,mni152_2mm
10978692,-32.0,-28.0,64.0,-2.2262558349738546,60,mni152_2mm
10978692,-52.0,-8.0,44.0,5.100298381462384,52,mni152_2mm
10978692,-44.0,-4.0,56.0,-2.648596032741301,36,mni152_2mm
10978692,-44.0,-32.0,52.0,5.100305369912294,69,mni152_2mm
10978692,56.0,8.0,40.0,6.367472275229152,34,mni152_2mm
10978692,-48.0,-4.0,44.0,2.0813928194416724,28,mni152_2mm
10978692,48.0,-48.0,52.0,3.391180077089734,27,mni152_2mm
10978692,-60.0,-16.0,8.0,-3.4249890864542407,68,mni152_2mm
10978692,-24.0,-16.0,20.0,-4.4105923460314465,37,mni152_2mm
10978692,4.0,-56.0,-12.0,-4.636905762983064,25,mni152_2mm
10978692,12.0,-64.0,-48.0,-2.892197881584913,59,mni152_2mm
10978692,12.0,-64.0,-48.0,5.3683823554701195,33,mni152_2mm
10978692,16.0,-48.0,-24.0,4.143223831402674,25,mni152_2mm
10978692,-44.0,-20.0,52.0,2.221502582848772,24,mni152_2mm
10978692,56.0,-36.0,48.0,-2.159079202498237,29,mni152_2mm
10978692,-56.0,-24.0,44.0,5.60227446984554,44,mni152_2mm
10978692,4.0,-80.0,4.0,3.2856755408180423,46,mni152_2mm
10978692,-16.0,-20.0,-4.0,3.8726798944291465,39,mni152_2mm
10978692,-48.0,-36.0,52.0,2.554708033734589,19,mni152_2mm
10978692,52.0,-40.0,48.0,2.196169432022229,31,mni152_2mm
10978692,-4.0,-68.0,-24.0,4.090242610255964,29,mni152_2mm
10978692,-4.0,-4.0,52.0,3.0155929894089892,94,mni152_2mm
10978692,-12.0,-88.0,0.0,4.435059772466944,55,mni152_2mm
10978692,56.0,-32.0,32.0,3.0788662879728905,37,mni152_2mm
10978692,60.0,-20.0,4.0,5.639745909077874,33,mni152_2mm
10978692,-56.0,-32.0,44.0,-1.96,26,mni152_2mm
10980036,-5.6,3.8,52.2,2.407093526965822,41,mni152_2mm
10980036,-31.8,-6.1,54.2,3.8658197927468105,51,mni152_2mm
10980036,-2.3,-9.5,53.6,4.6691511080372425,112,mni152_2mm
10980036,-35.5,-10.2,52.5,5.776642388992425,43,mni152_2mm
11087002,34.80075777628688,-63.85255674867783,46.61064398617688,1.96,51,mni152_2mm
11087002,-58.367602530607606,-52.20521417683711,26.630443194115543,-5.661007426663065,37,mni152_2mm
11087002,32.71413957062933,-56.74995461207675,56.07576775872721,-6.204076574932136,27,mni152_2mm
11087002,3.4708607105620524,26.898770221162565,39.35983340476166,2.3662109198683634,51,mni152_2mm
11087002,55.88769851638696,12.408795089850717,39.97291771442448,-2.374703147524257,44,mni152_2mm
11087002,5.54164208864441,24.025795965563727,29.54018203398747,4.243384565299662,46,mni152_2mm
11087002,51.531041975958,13.727033721107668,29.87560759654325,5.696134026003202,51,mni152_2mm
11087002,-34.63934553935042,-48.69405628860997,56.1738354990061,4.869242241629244,27,mni152_2mm
11113036,-45.0,3.0,51.0,-1.96,58,mni152_2mm
11113036,3.0,12.0,63.0,5.481238625247298,21,mni152_2mm
11113036,-36.0,57.0,-6.0,-2.50003552728053,59,mni152_2mm
11113036,48.0,51.0,-12.0,2.527578836221696,31,mni152_2mm
11113036,45.0,45.0,18.0,-5.480532142147972,32,mni152_2mm
11113036,39.0,-42.0,57.0,1.96,23,mni152_2mm
11113036,60.0,-57.0,-9.0,4.651270853301067,52,mni152_2mm
11113036,51.0,-72.0,-3.0,-3.3001051674289905,82,mni152_2mm
11113036,-33.0,-48.0,54.0,1.96,52,mni152_2mm
11113036,21.0,-66.0,54.0,-3.905121948084247,53,mni152_2mm
11113036,36.0,-87.0,3.0,1.96,36,mni152_2mm
11113036,48.0,21.0,-12.0,3.1868198648930934,20,mni152_2mm
11113036,-39.0,21.0,30.0,1.96,25,mni152_2mm
11113036,-36.0,-36.0,66.0,3.1880569881601932,33,mni152_2mm
11113036,-51.0,18.0,-3.0,3.800375139750251,37,mni152_2mm
11113036,-42.0,39.0,24.0,2.582446887905728,48,mni152_2mm
11113036,-60.0,-3.0,24.0,-4.079932310207963,58,mni152_2mm
11113036,36.0,-81.0,0.0,6.257458274227259,32,mni152_2mm
11113036,-45.0,-78.0,3.0,5.308017454140022,41,mni152_2mm
11113036,24.0,-66.0,60.0,-3.990754944273769,18,mni152_2mm
11113036,-48.0,-57.0,24.0,-5.190457471130071,32,mni152_2mm
11113036,-18.0,-63.0,63.0,1.96,45,mni152_2mm
11113036,-30.0,15.0,60.0,5.502311634081905,28,mni152_2mm
11113036,-54.0,-39.0,39.0,-3.340170864056567,21,mni152_2mm
11113036,-18.0,-63.0,63.0,-4.115297188260923,23,mni152_2mm
11113036,-51.0,-57.0,18.0,3.934779807315257,46,mni152_2mm
11113036,-30.0,-63.0,54.0,5.331287480971615,66,mni152_2mm
11113036,-6.0,15.0,-3.0,3.4819876450447405,62,mni152_2mm
11113036,-57.0,27.0,0.0,5.2082393596569485,44,mni152_2mm
11208666,-20.0,-40.0,64.0,5.0199297473470175,58,mni152_2mm
11208666,40.0,-12.0,48.0,-4.241334973778231,36,mni152_2mm
11208666,-32.0,16.0,32.0,4.842644694111925,50,mni152_2mm
11208666,-44.0,-24.0,44.0,4.572290051250916,59,mni152_2mm
11208666,-48.0,-32.0,40.0,2.497831400550454,36,mni152_2mm
11208666,-28.0,-60.0,52.0,3.236032502814844,54,mni152_2mm
11208666,-40.0,16.0,32.0,-5.848645369583361,40,mni152_2mm
11208666,-32.0,-48.0,60.0,-2.9548110032995707,20,mni152_2mm
11208666,-40.0,-44.0,40.0,2.81908767916771,76,mni152_2mm
11208666,4.0,-64.0,40.0,4.424083517946764,30,mni152_2mm
11208666,4.0,-60.0,36.0,-3.5460298785205353,46,mni152_2mm
11208666,40.0,-28.0,40.0,-6.240092359849465,43,mni152_2mm
11208666,-52.0,-56.0,28.0,2.6551754217086243,28,mni152_2mm
11208666,-16.0,-40.0,20.0,-1.96,27,mni152_2mm
11208666,-44.0,-32.0,40.0,3.785204367353088,51,mni152_2mm
11208666,-44.0,-40.0,40.0,1.96,46,mni152_2mm
11208666,32.0,-52.0,52.0,3.5549375482270857,40,mni152_2mm
11208666,-4.0,4.0,52.0,5.4475550066701315,92,mni152_2mm
11208666,4.0,-64.0,40.0,-4.007993463791431,23,mni152_2mm
11208666,40.0,-24.0,44.0,2.572256472418489,47,mni152_2mm
11208666,4.0,-60.0,40.0,4.024689149794443,33,mni152_2mm
11208666,-28.0,-68.0,36.0,4.155237075788581,72,mni152_2mm
11208666,-44.0,0.0,40.0,5.103717296019857,48,mni152_2mm
11208666,28.0,-64.0,44.0,3.918593763027939,59,mni152_2mm
11208666,-40.0,16.0,32.0,1.96,59,mni152_2mm
11208666,-40.0,12.0,32.0,2.1032608973747156,43,mni152_2mm
11208666,40.0,-28.0,40.0,3.7544969315029624,38,mni152_2mm
11208666,4.0,-60.0,36.0,3.314495642625944,33,mni152_2mm
11208666,32.0,-56.0,48.0,5.495474639054325,56,mni152_2mm
11208666,56.0,-24.0,28.0,-4.914909273851753,49,mni152_2mm
11208666,-40.0,-36.0,52.0,4.631352917846426,46,mni152_2mm
11208666,-32.0,24.0,12.0,4.573823689454102,42,mni152_2mm
11208666,24.0,-68.0,44.0,-4.937622313829674,43,mni152_2mm
11208666,-52.0,-52.0,28.0,2.800927969985427,73,mni152_2mm
11208666,-52.0,-52.0,28.0,-4.733752701175593,62,mni152_2mm
11208666,44.0,-32.0,56.0,3.1447579357965547,47,mni152_2mm
11208666,8.0,-24.0,4.0,1.96,44,mni152_2mm
11208666,-32.0,-64.0,36.0,-3.08792288260543,60,mni152_2mm
11208666,-32.0,-44.0,60.0,2.716698727802457,23,mni152_2mm
11208666,-4.0,-4.0,40.0,2.81951891484604,20,mni152_2mm
11208666,-60.0,-24.0,20.0,-2.4071020933486142,28,mni152_2mm
11208666,-32.0,-64.0,36.0,4.407357834733816,27,mni152_2mm
11208666,-44.0,12.0,40.0,4.926291436648576,39,mni152_2mm
11208666,-44.0,12.0,36.0,5.526155195830809,49,mni152_2mm
11208666,-60.0,-24.0,20.0,5.056836372151613,26,mni152_2mm
11208666,-52.0,-56.0,24.0,4.218390861753662,42,mni152_2mm
11208666,32.0,-40.0,40.0,3.357870280526983,32,mni152_2mm
11208666,-32.0,-68.0,36.0,3.8831043499183937,31,mni152_2mm
11208666,32.0,-48.0,56.0,4.744674511923504,29,mni152_2mm
11208666,-32.0,-52.0,52.0,1.96,46,mni152_2mm
11208666,-36.0,-8.0,52.0,-2.2837922078013673,60,mni152_2mm
11208666,-64.0,-24.0,20.0,-1.96,39,mni152_2mm
11208666,-44.0,0.0,40.0,-4.832090588241416,37,mni152_2mm
11208666,40.0,-32.0,40.0,4.690164943241466,40,mni152_2mm
11208666,-4.0,-4.0,48.0,-2.369057545990618,21,mni152_2mm
11208666,-40.0,0.0,28.0,6.543946033403634,24,mni152_2mm
11208666,40.0,-40.0,40.0,5.039444877903668,73,mni152_2mm
11208666,-28.0,-68.0,36.0,-5.013685522530911,26,mni152_2mm
11208666,-40.0,-12.0,48.0,-3.264867059806559,38,mni152_2mm
11208666,36.0,-44.0,44.0,3.999333844045611,24,mni152_2mm
11208666,52.0,-20.0,16.0,3.44315861432591,50,mni152_2mm
11208666,-24.0,-28.0,56.0,2.5669969711581273,45,mni152_2mm
11208666,-20.0,-64.0,20.0,2.9429054289426855,26,mni152_2mm
11208666,-28.0,-64.0,36.0,5.101893652820115,37,mni152_2mm
11208666,-20.0,-64.0,20.0,-2.188267547461344,47,mni152_2mm
11208666,-4.0,-4.0,48.0,1.966552228949236,53,mni152_2mm
11208666,-32.0,24.0,32.0,-1.96,34,mni152_2mm
11208666,-40.0,-40.0,52.0,3.4912047450180355,48,mni152_2mm
11208666,-32.0,-16.0,56.0,2.4716950552614776,78,mni152_2mm
11208666,40.0,-8.0,52.0,7.559704360233137,22,mni152_2mm
11208666,-44.0,12.0,36.0,-6.263331427552598,55,mni152_2mm
11208666,-32.0,-52.0,52.0,-1.96,38,mni152_2mm
11208666,-40.0,0.0,28.0,-6.989809651245213,25,mni152_2mm
11208666,-16.0,-40.0,20.0,2.851709144757042,24,mni152_2mm
11208666,52.0,-20.0,16.0,-3.679810236901633,32,mni152_2mm
11208666,-44.0,-12.0,28.0,-5.078737212044235,52,mni152_2mm
11222456,-26.0,-64.0,62.0,6.289471240405421,43,mni152_2mm
11222456,10.0,4.0,50.0,-6.1401970481203,40,mni152_2mm
11222456,-26.0,-20.0,58.0,3.738667949240458,29,mni152_2mm
11222456,-18.0,-16.0,64.0,1.96,48,mni152_2mm
11222456,32.0,0.0,50.0,-2.2547110209206083,26,mni152_2mm
11222456,-20.0,-18.0,52.0,3.1501969549112268,30,mni152_2mm
11222456,-42.0,-22.0,60.0,1.96,37,mni152_2mm
11222456,-16.0,16.0,58.0,-3.4400950543631588,53,mni152_2mm
11222456,46.0,-38.0,62.0,4.274877454355141,30,mni152_2mm
11222456,-34.0,-10.0,68.0,-4.520131181495067,40,mni152_2mm
11222456,4.0,-12.0,58.0,3.4994589119640858,74,mni152_2mm
11222456,34.0,-20.0,64.0,-3.142827896176675,42,mni152_2mm
11222456,8.0,16.0,48.0,2.994081545702832,54,mni152_2mm
11222456,54.0,-2.0,52.0,5.057220044030135,38,mni152_2mm
11222456,14.0,-50.0,68.0,-4.166089341034185,39,mni152_2mm
11222456,16.0,-16.0,58.0,3.2909445375891484,32,mni152_2mm
11222456,22.0,-18.0,64.0,2.9000579756662024,31,mni152_2mm
11222456,-20.0,-56.0,62.0,1.96,54,mni152_2mm
11222456,-24.0,-18.0,52.0,4.882275454002041,32,mni152_2mm
11222456,8.0,-52.0,62.0,1.96,41,mni152_2mm
11222456,-36.0,-32.0,58.0,3.674807641424665,65,mni152_2mm
11222456,26.0,-16.0,58.0,1.96,30,mni152_2mm
11222456,48.0,-44.0,60.0,1.96,42,mni152_2mm
11222456,34.0,-20.0,64.0,5.081053523792878,27,mni152_2mm
11222456,-38.0,-4.0,48.0,2.852545348871093,39,mni152_2mm
11222456,-40.0,-32.0,62.0,-3.488698930241945,47,mni152_2mm
11222456,28.0,-18.0,58.0,-5.441803927643477,54,mni152_2mm
11222456,32.0,-54.0,66.0,4.5126227612182905,39,mni152_2mm
11222456,-34.0,-54.0,64.0,-3.828859783062682,23,mni152_2mm
11222456,-50.0,8.0,42.0,3.519475743354374,86,mni152_2mm
11222456,-6.0,6.0,46.0,2.0943945734610043,46,mni152_2mm
11222456,-46.0,-18.0,56.0,4.919439870244392,47,mni152_2mm
11222456,-46.0,-18.0,48.0,2.70763055753027,40,mni152_2mm
11222456,40.0,-2.0,66.0,2.370140014846613,40,mni152_2mm
11222456,8.0,-50.0,62.0,-3.1740770432912173,63,mni152_2mm
11222456,50.0,-22.0,60.0,4.156450145109464,31,mni152_2mm
11222456,8.0,-4.0,48.0,3.786342646424341,31,mni152_2mm
11222456,-12.0,-40.0,64.0,2.4059333911447314,62,mni152_2mm
11222456,52.0,0.0,54.0,3.3985208351018277,30,mni152_2mm
11222456,0.0,16.0,46.0,1.96,33,mni152_2mm
11222456,-18.0,18.0,48.0,5.5409168072784265,61,mni152_2mm
11239442,30.0,42.0,26.0,-4.670034291638188,24,mni152_2mm
11239442,46.0,-2.0,-26.0,-5.958735773375645,30,mni152_2mm
11239442,56.0,-28.0,-12.0,-3.589852663382215,30,mni152_2mm
11239442,-46.0,-2.0,-32.0,-1.96,34,mni152_2mm
11239442,-36.0,8.0,-34.0,1.96,20,mni152_2mm
11239442,-54.0,20.0,10.0,3.207224073351058,24,mni152_2mm
11239442,32.0,10.0,50.0,2.77475768364346,30,mni152_2mm
11239442,8.0,28.0,24.0,5.842805180984089,62,mni152_2mm
11239442,-32.0,14.0,-4.0,3.3165034216419365,36,mni152_2mm
11239442,-6.0,28.0,20.0,-2.1160770408901017,26,mni152_2mm
11239442,48.0,-40.0,46.0,-3.259401116421364,29,mni152_2mm
11239442,8.0,22.0,28.0,-1.96,54,mni152_2mm
11239442,-48.0,40.0,-12.0,-2.0776086203029216,75,mni152_2mm
11239442,12.0,24.0,48.0,-2.4956574070400417,25,mni152_2mm
11239442,4.0,32.0,24.0,-4.256892734978411,52,mni152_2mm
11239442,54.0,-16.0,-26.0,2.680725480909316,34,mni152_2mm
11239442,-6.0,28.0,20.0,3.894936872107705,61,mni152_2mm
11239442,42.0,34.0,-14.0,4.11480498391245,43,mni152_2mm
11239442,-4.0,40.0,30.0,-3.99944694750104,56,mni152_2mm
11239442,30.0,24.0,-20.0,-3.98853283923418,43,mni152_2mm
11239442,38.0,10.0,-32.0,2.796733018486256,35,mni152_2mm
11422456,-0.6558205327751068,-30.91211866904005,35.33383101973837,-4.9653115803183105,68,mni152_2mm
11422456,37.53561763852152,36.73542895415903,25.876412268284227,3.479039476655307,60,mni152_2mm
11422456,-39.34127203416525,12.754507241173789,25.424976198746105,-1.96,54,mni152_2mm
11422456,-13.879516628417552,18.6824225706486,3.4465717006355803,6.086417373753898,37,mni152_2mm
